,Opportunity Number,Type,Brand,State,Country,First Contact Type,Date of First Contact,Date of Giving Proposal,Date of Closing,Number of Contacts,Opportunity Amount (in USD),Customer Size By Revenue,Revenue From Customer (in USD),Customer Size By Number of Employees,Competitor Type,Anonymous Variable 1,Anonymous Variable 2,Anonymous Variable 3,Anonymous Variable 4,Sale
0.463845008,9226,Biscuit,Arbo,Oregon,United States,Email,17-01-2014,18-01-2014,18-01-2014,2,450000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.368202975,4191,Beverage,Pepsi,California,United States,Email,9/1/2014,10/1/2014,10/1/2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.972313957,14476,Biscuit,Arbo,Utah,United States,Email,26-01-2014,12/2/2014,12/2/2014,3,200000,USD 100000 - 249999,USD 200000 and above,0 to 10,None,0,0.232143,0.767857,1,No
0.698864289,24628,Biscuit,Covenant,Washington,United States,Email,11/1/2014,18-01-2014,18-01-2014,2,60000,USD 0 - 9999,USD 0,11 to 20,Known,0,1,0,1,No
0.750484091,13700,Biscuit,Arbo,Texas,United States,Email,4/1/2014,4/1/2014,4/1/2014,2,75000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.228086227,25980,Biscuit,Arbo,Utah,United States,Email,14-01-2014,3/2/2014,3/2/2014,2,101000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.255220111,4028,Biscuit,Ritz,California,United States,Email,16-01-2014,18-01-2014,18-01-2014,2,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.826458608,3843,Biscuit,Chips Ahoy,Utah,United States,Email,11/1/2014,16-01-2014,18-01-2014,4,16623,USD 50000 - 99999,USD 0,11 to 20,Known,0,0,0.736111,0.736111,No
0.759896269,14905,Biscuit,Covenant,Montana,United States,Email,17-01-2014,3/2/2014,3/2/2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.532275562,25488,Biscuit,Ritz,Texas,United States,Email,10/1/2014,10/1/2014,10/1/2014,1,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.224919046,12672,Biscuit,Arbo,California,United States,Email,15-01-2014,26-01-2014,26-01-2014,2,750000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
